#,Business Name,Category,Town,Phone,Email,Address,Website Status,Rating,Outreach Status,Email Sent,Follow-up 1,Follow-up 2,Notes,GBP Link
47,Reality Hair Salon,Hairdresser,Southend-on-Sea,07709 994128,,23 High St Southend-on-Sea SS1 1JE,Poor - Social media page,4.9,Not Started,,,,,
48,NINETEEN HAIR & BEAUTY SALON,Hairdresser,Southend-on-Sea,01702 831511,,19 Southchurch Rd Southend-on-Sea SS1 2NG,No Website,4.5,Not Started,,,,,
49,Cut U Up Hair & Beauty Salon,Hairdresser,Southend-on-Sea,01702 870601,,17 Southchurch Rd Southend-on-Sea SS1 2NG,No Website,,Not Started,,,,,
50,Salon 23,Hairdresser,Southend-on-Sea,01702 817834,,23 High St Southend-on-Sea SS1 1JE,No Website,4.5,Not Started,,,,,
51,Perry Browns Salon,Hairdresser,Southend-on-Sea,01702 826470,,485 Southchurch Rd Southend-on-Sea SS1 2PH,No Website,,Not Started,,,,,
52,Edi's Unisex Hair Salon & Barbers,Hairdresser,Southend-on-Sea,01702 875565,,492 London Rd Westcliff-on-Sea SS0 9LD,No Website,,Not Started,,,,,
53,Red Lion Cuts,Barber shop,Colchester,07918 883472,,43 High St Colchester CO1 1DH,No Website,5.0,Not Started,,,,,
54,Sharp Cut,Barber shop,Colchester,Send to phone,,38 Queen St Colchester CO1 2PL,No Website,4.8,Not Started,,,,,
55,Samuel - Barber,Barber shop,Colchester,07598 396883,,11 Headgate Sir Isaac's Walk Colchester CO3 3FH,Poor - Social media page,5.0,Not Started,,,,,
56,COLCH CUTZ 1,Barber shop,Colchester,07777 152234,,7 St Botolph's St Colchester CO2 7DU,No Website,4.7,Not Started,,,,,
57,Top Barbers,Barber shop,Colchester,01206 642835,,74-76 Butt Rd Colchester CO3 3DA,No Website,,Not Started,,,,,
58,Crown Barbers,Barber shop,Colchester,01206 765898,,"8, The Centre, Iceni Way, Colchester CO2 9EB",No Website,,Not Started,,,,,
59,North Hill Barbers,Barber shop,Colchester,01206 547666,,30 North Hill Colchester CO1 1EH,No Website,,Not Started,,,,,
60,I fade,Barber shop,Colchester,07533 224463,,33 St Botolph's St Colchester CO2 7EA,No Website,,Not Started,,,,,
61,Brilliant Barber,Barber shop,Colchester,07707 929172,,131A High St Colchester CO1 1SP,No Website,,Not Started,,,,,
62,Mews Barbers,Barber shop,Colchester,01206 572664,,2A Church St Colchester CO1 1NF,Poor - Social media page,,Not Started,,,,,
63,Hair Razor Barbers,Barber shop,Colchester,07949 993766,,20 Eld Ln Colchester CO1 1LS,No Website,,Not Started,,,,,
64,The Man Cave,Barber shop,Chelmsford,01245 611523,,1 High St Chelmsford CM1 1BE,Poor - Social media page,4.8,Not Started,,,,,
65,Essex Barbers Lounge,Barber shop,Chelmsford,01245 350777,,31 Broomfield Rd Chelmsford CM1 1SY,No Website,,Not Started,,,,,
66,Diverse Barbershop - Chelmsford,Barber shop,Chelmsford,07376 421024,,12a Parkway Chelmsford CM2 0NF,Poor - Directory/booking platform,5.0,Not Started,,,,,
67,Moulsham Barber's Lounge,Barber shop,Chelmsford,01245 261700,,161A Moulsham St Chelmsford CM2 0LD,Poor - Directory/booking platform,4.8,Not Started,,,,,
68,K1 BARBERS,Barber shop,Chelmsford,07982 395945,,"7, Hylands Parade, Wood St, Chelmsford CM2 8BW",No Website,,Not Started,,,,,
69,H4Z FADEZ,Barber shop,Chelmsford,07961 991847,,66 Forest Dr Chelmsford CM1 2TS,No Website,5.0,Not Started,,,,,
70,The Men's Salon,Barber shop,Chelmsford,01245 283840,,"Kiosk 1, Meadows Shopping Centre, Chelmsford CM2 6FD",No Website,4.8,Not Started,,,,,
71,Old town barbers,Barber shop,Basildon,01268 525951,,58 E Walk Basildon SS14 1HE,No Website,4.2,Not Started,,,,,
72,Hot Shots Barbers Basildon,Barber shop,Basildon,01268 287111,,17 Eastgate Basildon SS14 1JJ,No Website,4.4,Not Started,,,,,
73,Tuff Luck Barbers,Barber shop,Basildon,01268 282870,,Unit 1 Paycocke Rd Basildon SS14 3EH,Poor - Directory/booking platform,,Not Started,,,,,
74,Magic Scissors,Barber shop,Basildon,01268 906363,,83 Southernhay Basildon SS14 1EU,Poor - Social media page,3.9,Not Started,,,,,
75,Crown turkish barber in kingswood,Barber shop,Basildon,07466 031457,,142 Clay Hill Rd Basildon SS16 5DF,No Website,,Not Started,,,,,
76,Istanbul,Barber shop,Basildon,01268 952851,,410 Whitmore Way Basildon SS14 2HB,Poor - Social media page,3.6,Not Started,,,,,
77,Stocks Barbershop,Barber shop,Basildon,07951 171401,,Burnt Mills Rd Basildon SS13 1DY,No Website,,Not Started,,,,,
78,Moe's barbers,Barber shop,Basildon,01268 928798,,"South Walk, 10 S Walk, Basildon SS14 1BZ",No Website,,Not Started,,,,,
79,Pitsea Turkish Barber,Barber shop,Basildon,07411 165922,,Pitsea Basildon SS13 3BG,Poor - Social media page,,Not Started,,,,,
80,Kings Turkish Barbers pitsea,Barber shop,Basildon,07440 125498,,63 High Rd Pitsea Basildon SS13 3BB,No Website,,Not Started,,,,,
81,Laindon Turkish barber,Barber shop,Basildon,07424 847919,,High Road Laindon Basildon SS15 6NR,No Website,,Not Started,,,,,
82,Felmores Barber,Barber shop,Basildon,01268 217206,,5 Felmores End Basildon SS13 1PN,No Website,,Not Started,,,,,
83,String's HQ,Barber shop,Basildon,01268 534880,,"Unit 36b, Eastgate shopping centre, London SS14 1AE",No Website,,Not Started,,,,,
84,Jimmys Barbers,Barber shop,Southend-on-Sea,07703 755185,,141 Southchurch Rd Southend-on-Sea SS1 2NW,Poor - Social media page,4.9,Not Started,,,,,
85,Mo's Barber,Barber shop,Southend-on-Sea,07411 311806,,633B London Rd Westcliff-on-Sea SS0 9PE,No Website,4.8,Not Started,,,,,
86,Southend barber,Barber shop,Southend-on-Sea,07476 753477,,151 Fairfax Dr Westcliff-on-Sea SS0 9BQ,No Website,,Not Started,,,,,
87,Zack Barbers,Barber shop,Southend-on-Sea,07429 363631,,99 Southchurch Rd Southend-on-Sea SS1 2NL,No Website,4.9,Not Started,,,,,
88,Arastocuts,Barber shop,Southend-on-Sea,01702 831820,,102 High St Southend-on-Sea SS1 1JN,No Website,4.6,Not Started,,,,,
89,Mo's barber Southend,Barber shop,Southend-on-Sea,07480 810706,,12 Alexandra St Southend-on-Sea SS1 1BU,No Website,4.7,Not Started,,,,,
90,Cutz & Bladez,Barber shop,Southend-on-Sea,07454 545895,,104 Southchurch Rd Southend-on-Sea SS1 2LX,No Website,4.7,Not Started,,,,,
91,Men Only,Barber shop,Southend-on-Sea,07966 587295,,30 Woodcutters Ave Leigh-on-Sea SS9 4PL,No Website,,Not Started,,,,,
92,Rag N Bone Barber Co,Barber shop,Southend-on-Sea,07848 685415,,50 Hamlet Ct Rd Westcliff-on-Sea SS0 7LX,No Website,4.9,Not Started,,,,,
93,Roots & Grooves Cafe,Cafe,Colchester,Send to phone,,1 St Nicholas Passage Colchester CO1 1TB,No Website,4.7,Not Started,,,,,
94,Ella's Vietnamese Kitchen,Cafe,Colchester,01206 626508,,20 Sir Isaac's Walk Colchester CO1 1JJ,No Website,4.9,Not Started,,,,,
95,Sir Isaac's Artisan Coffee,Coffee shop,Colchester,01206 803105,,43 Sir Isaac's Walk Colchester CO1 1JJ,No Website,4.4,Not Started,,,,,
96,Cafe Local Colchester,Convenience Store,Colchester,01206 573440,,Railway Station N Station Rd Colchester CO1 1XD,No Website,,Not Started,,,,,
97,Buzzcoffee,Coffee shop,Colchester,07453 289856,,59B N Station Rd Colchester CO1 1RQ,No Website,,Not Started,,,,,
98,Chicago's Coffee & Sandwich Bar,Restaurant,Colchester,01206 417437,,8 Eld Ln Colchester CO1 1LS,No Website,,Not Started,,,,,
99,Jenkins Cafe,Cafe,Colchester,01206 521448,,42 St John's St Colchester CO2 7AD,Poor - Social media page,4.6,Not Started,,,,,
100,The Brunch Café,Cafe,Colchester,01206 586705,,Colchester CO3 0LA,Poor - Social media page,,Not Started,,,,,
101,Central Park Cafe Chelmsford,Cafe,Chelmsford,01245 931590,,Central Park Chelmsford CM1 1LQ,Poor - Social media page,4.6,Not Started,,,,,
102,The Little Cafe,Cafe,Chelmsford,01245 359797,,201a Moulsham St Chelmsford CM2 0LG,No Website,4.7,Not Started,,,,,
103,Niffer's Café chelmsford,Restaurant,Chelmsford,07958 452366,,Inside Selco Builders Merchant Chelmsford CM1 3AR,No Website,,Not Started,,,,,
104,The Cafe by Benugo at John Lewis,Cafe,Chelmsford,01245 458400,,Bond St Chelmsford CM1 1GD,No Website,,Not Started,,,,,
105,House Cleaning Services Colchester,House cleaning service,Colchester,01202 464586,,115 N Station Rd Colchester CO1 1SB,No Website,,Not Started,,,,,
106,Shine Sharpers Limited,House cleaning service,Chelmsford,07309 114380,,Haig Ct Chelmsford CM2 0BJ,No Website,5.0,Not Started,,,,,
107,Samas cleaning Ltd,Cleaners,Basildon,07400 063949,,Academy Dr Basildon SS15 6GQ,No Website,,Not Started,,,,,
108,Affordable Cleaning Company,Cleaning service,Basildon,07891 904303,,30 Stokefelde Pitsea Basildon SS13 1NH,No Website,,Not Started,,,,,
109,VV touch of perfection housekeeping ltd,House cleaning service,Basildon,07949 163202,,Darwin Ct Basildon SS14 3SY,No Website,,Not Started,,,,,
110,DC PRO Solutions Ltd,Carpet cleaning service,Basildon,Send to phone,,,No Website,,Not Started,,,,,
111,Pixie Perfect Cleaning & Co,House cleaning service,Basildon,07984 009712,,,No Website,,Not Started,,,,,
112,Sol's Decorating - Painting and decorating,Painter and Decorator,Colchester,07795 213444,,28 Peache Rd Colchester CO1 2FS,No Website,5.0,Not Started,,,,,
113,Deluxe Painters And Decorators,Painter and Decorator,Colchester,07421 877992,,Grantham Ct Colchester CO1 2RU,Poor - Social media page,,Not Started,,,,,
114,B P Decorating Services,Painter and Decorator,Colchester,01206 530703,,4 Hamilton Rd Colchester CO3 3DZ,No Website,5.0,Not Started,,,,,
115,Wise Painting and Decorating,Painter and Decorator,Colchester,07300 346606,,,Poor - Social media page,5.0,Not Started,,,,,
116,SP COLLYER DECORATING,Painter and Decorator,Colchester,07961 800535,,29 Steed Cres Colchester CO2 7SJ,No Website,,Not Started,,,,,
117,Painter & Decorator,Painter and Decorator,Colchester,07834 640570,,46 Broadlands Way Colchester CO4 0AN,No Website,5.0,Not Started,,,,,
118,Painter and Decorator Colchester,Painter and Decorator,Colchester,020 3906 1182,,"5, 11 Whitehall Cl, Colchester CO2 8AJ",No Website,,Not Started,,,,,
119,TJP Decorating,Interior Decorator,Chelmsford,07557 911044,,Louis Faiers Cres Boreham Chelmsford CM1 6EY,No Website,,Not Started,,,,,
120,D'Decor Ltd,Painter and Decorator,Chelmsford,Send to phone,,,Poor - Social media page,,Not Started,,,,,
121,Hayes Paul,Painter and Decorator,Chelmsford,01245 463081,,3 Wavell Cl Springfield Chelmsford CM1 6FQ,No Website,,Not Started,,,,,
122,Rgl Painter & Decorator,Painter and Decorator,Basildon,07976 720438,,5 Clarendon Rd Basildon SS13 2BL,No Website,5.0,Not Started,,,,,
123,Pro touch painting and decorating services,Painter and Decorator,Basildon,07493 221534,,30 Lippits Hill Langdon Hills Basildon SS16 6LN,No Website,5.0,Not Started,,,,,
124,Painters in Basildon,Painter and Decorator,Basildon,07400 163236,,St Andrews Ln Laindon Basildon SS15 5WH,No Website,,Not Started,,,,,
125,M. A. Smith Building and Decorating Services,Painter and Decorator,Basildon,01268 417418,,12 Beecham Ct Basildon SS15 5RB,No Website,5.0,Not Started,,,,,
126,CP WILSON PAINTING & DECORATING,Painter and Decorator,Basildon,07966 172080,,"Essex, 26 Wellstye Grn, Basildon SS14 2SR",No Website,,Not Started,,,,,
127,Painter & Decorator Basildon - RS Homes,Painter and Decorator,Basildon,07771 864011,,46 Little Oxcroft Laindon Basildon SS15 6PD,No Website,,Not Started,,,,,
128,vibrant visions painting and decorating,Interior Decorator,Basildon,Send to phone,,135 Swanstead Basildon SS16 4PA,No Website,5.0,Not Started,,,,,
129,HollinsDecoratingLtd,Painter and Decorator,Basildon,07718 935832,,22 Heathleigh Dr Langdon Hills Basildon SS16 6AR,No Website,5.0,Not Started,,,,,
